year,total_gastro,A009,A010,A011,A012,A013,A014,A020,A021,A022,A028,A029,A030,A031,A032,A033,A038,A039,A040,A041,A042,A043,A044,A045,A046,A048,A049,A050,A052,A053,A054,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A078,A079,A080,A081,A082,A083,A084,A085,A09,K529
1999,79,0,0,0,0,0,0,27,37,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,3
2000,70,0,0,0,0,0,0,17,30,0,0,7,0,0,0,0,0,1,0,0,0,0,0,7,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4
2001,83,0,0,0,0,0,0,25,36,0,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,3
2002,46,0,0,0,0,0,0,17,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2003,63,0,0,0,0,0,0,23,29,1,0,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3
2004,62,0,0,0,0,0,0,15,26,1,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2005,63,0,0,0,0,0,0,17,27,0,0,8,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
2006,58,0,1,0,0,0,0,26,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3
2007,69,0,0,0,0,0,0,16,23,2,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,2
2008,79,0,0,0,0,0,0,21,25,2,0,30,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0
2009,59,0,0,0,0,0,0,8,20,2,0,22,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1
2010,64,0,0,0,0,0,0,9,20,1,0,24,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0
2011,88,0,0,0,0,0,0,20,30,1,0,32,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2
2012,78,0,0,0,0,0,0,18,36,1,0,18,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2013,77,0,0,0,0,0,0,18,29,2,0,24,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2014,87,0,0,0,0,0,0,20,35,2,0,29,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1
2015,109,0,0,0,0,0,0,28,34,4,0,43,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1
2016,84,0,0,0,0,0,0,12,34,1,0,25,0,0,0,0,0,0,0,0,0,0,0,12,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1
2017,113,0,0,0,0,0,0,14,38,4,0,53,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,1
2018,126,1,0,0,0,0,0,22,39,2,0,48,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1
2019,95,0,0,0,0,0,0,22,31,4,0,42,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2020,139,0,0,0,0,0,0,25,37,3,0,60,0,0,0,0,0,1,0,0,0,0,1,21,2,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
